ethnicity,grouping,language
egyptian,african,
nigerian,african,
sudanese,african,
persian,arabic,
chinese,asian,
japanese,asian,
korean,asian,
thai,asian,
mexican,central american,
panamanean,central american,
british,european,
dutch,european,
estonian,european,
french,european,
german,european,
irish,european,
italian,european,
maldovan,european,
portugese,european,
romanian,european,
scottish,european,
slovakian,european,
spanish,european,
welsh,european,
danish,nordic,
norwegian,nordic,
swedish,nordic,
american,north american,
canadian,north american,
latino,north american,
australian,pacific islander,
hawaiian,pacific islander,
maori,pacific islander,
new-zealander,pacific islander,
pacific islander,pacific islander,
saomoan,pacific islander,
bolivian,south american,
argentinian,south american,
chilean,south american,
brazillian,south american,
russian,slavic,
ukranian,slavic,
polish,slavic,
slovakian,slavic,